OBJECTID,AREA,dcode,dname,dname_e,pcode,no_female,pname,no_male,no_health,no_temple,no_commu,no_hos,no_sch,NUMPOINTS
"12",43612880.00000000,"1042",à¢µÊÒÂäËÁ,Sai Mai,"10","98186",¡ÃØ§à·¾ÁËÒ¹¤Ã,"87801","1","8","69","0","9",1
"13",120176920.00000000,"1046",à¢µ¤ÅÍ§ÊÒÁÇÒ,Khlong Sam Wa,"10","86548",¡ÃØ§à·¾ÁËÒ¹¤Ã,"78804","1","10","73","0","18",0
"14",22669208.00000000,"1041",à¢µËÅÑ¡ÊÕè,Lak Si,"10","58013",¡ÃØ§à·¾ÁËÒ¹¤Ã,"53107","1","1","73","0","6",0
"16",40959096.00000000,"1005",à¢µºÒ§à¢¹,Bang Khen,"10","98252",¡ÃØ§à·¾ÁËÒ¹¤Ã,"90000","0","4","74","0","5",1
"20",32656716.00000000,"1030",à¢µ¨µØ¨Ñ¡Ã,Chatu Chak,"10","85223",¡ÃØ§à·¾ÁËÒ¹¤Ã,"76186","1","2","41","0","7",0
"21",25380514.00000000,"1043",à¢µ¤Ñ¹¹ÒÂÒÇ,Khan Na Yao,"10","46450",¡ÃØ§à·¾ÁËÒ¹¤Ãƒ,"40719","0","2","39","0","2",1
"22",61120416.00000000,"1010",à¢µÁÕ¹ºØÃÕ,Min Buri,"10","71556",¡ÃØ§à·¾ÁËÒ¹¤Ã,"64680","1","6","62","0","13",0
"23",21266434.00000000,"1038",à¢µÅÒ´¾ÃéÒÇ,Lat Phrao,"10","66354",¡ÃØ§à·¾ÁËÒ¹¤Ã,"55826","1","4","32","0","6",0
"24",12885789.00000000,"1029",à¢µºÒ§«×èÍ,Bang Sue,"10","70880",¡ÃØ§à·¾ÁËÒ¹¤Ã,"64121","2","9","50","0","7",0
"25",23404956.00000000,"1027",à¢µºÖ§¡ØèÁ,Bueng Kum,"10","78889",¡ÃØ§à·¾ÁËÒ¹¤Ã,"67308","1","5","41","0","8",0
"28",27587404.00000000,"1006",à¢µºÒ§¡Ð»Ô,Bang Kapi,"10","80825",¡ÃØ§à·¾ÁËÒ¹¤Ã,"67820","1","5","28","0","11",0
"72",32950616.00000000,"1049",à¢µ·Øè§¤ÃØ,Thung khru,"10","61249",¡ÃØ§à·¾ÁËÒ¹¤Ã,"54574","2","4","30","0","8",0
